CO2_intercept,CO2_slope,CO2_mean,CO2_std_dev,CO2_pvalue,CO2_rsquared,CO2_filtered_flux_period_sec,CO2_exp_t0_slope,CO2_exp_Cmax,CO2_exp_alpha,CO2_exp_pvalue,CO2_exp_rsquared,CO2_exp_iters,CO2_Exp_fit_status,initial_LICORCO2_reg_start_time,initial_LICORCO2_reg_end_time,filtered_LICORCO2_reg_start_time,filtered_LICORCO2_reg_end_time,CO2_ppm_start,CO2_ppm_end,peak_time_fDOY,chamber_no,chamber_names,simple_chamber_name,LICOR_CO2_filename,peak_repeated_flag,peak_fell_out_of_window,LICOR_preceeding_max_CO2ppm,LICOR_CO2_file_small_or_does_not_exist
-4963.501163459907,598.9726774460788,583.2805460750853,13.619383234962617,2.2026838063202012e-281,0.9879715090042354,281.00000472839923,663.973459149762,816.569829047341,2.5888950042041827,1.0506073948762982e-8,0.9940985887398892,33,Success,09:13:24,09:18:05,09:13:24,09:18:05,560.1,608,124.387685185164,1,QUI-02_12_23_1,12-A1,12A1,FALSE,FALSE,561.6,FALSE
-4997.690723446481,594.7014360351437,576.0192028985507,12.943247902725565,5.262922913966542e-260,0.9869067026109637,260.9999961241684,604.5660146628571,1224.2005321614442,0.9039556423632131,0.08379383188418009,0.9936255932172516,53,Success,09:20:14,09:24:35,09:20:14,09:24:35,555.4,597.3,124.392187500024,2,QUI-02_12_23_2,12-A2,12A2,FALSE,TRUE,609.19,FALSE
-9770.87027184873,1093.9343181687416,604.6737913486005,24.678667564981787,0,0.9970069401799312,280.0000057322841,1077.0831150301851,9860.622688928812,0.11584500157365246,0.5710291230030542,0.9985123408348746,95,Success,09:26:44,09:31:24,09:26:44,09:31:24,563,643.1,124.396932870361,3,QUI-02_12_24_1,12-B1,12B1,FALSE,TRUE,599.63,FALSE
-9996.285221595983,1104.814989612754,585.3253012048193,22.009910392778192,0,0.9967909274113795,249.99999999634284,955.9307709605011,278.0474764603122,-3.5202426348315283,4.7753499486496136e-27,0.9980528234460462,12,Success,09:32:06,09:36:45,09:32:06,09:36:45,524.5,623,124.400648148144,4,QUI-02_12_24_2,12-B2,12B2,FALSE,TRUE,649.4818181818182,FALSE
-9283.76203776419,1001.9468026238247,581.4142857142857,22.66073324428914,0,0.9970203156195759,280.9999975579558,1159.2081125892628,863.5884914564069,3.594572033730888,6.63020497675579e-63,0.9987752172701787,29,Success,09:48:29,09:53:10,09:48:29,09:53:10,541.1,619.9,124.412037037052,5,QUI-02_10_21_1,10-A1,10A1,FALSE,FALSE,549.6272727272727,FALSE
-9615.45093897435,1024.3268894511345,581.7980821917808,23.401233217335516,0,0.9975780302180884,280.9999975579558,1064.3527821844586,1527.79560990291,1.081334480694723,8.665889888266461e-10,0.9988811989965626,63,Success,09:55:05,09:59:46,09:55:05,09:59:46,543.5,622.7,124.416631944412,6,QUI-02_10_21_2,10-A2,10A2,FALSE,TRUE,623.2272727272727,FALSE
-8723.507176479981,921.2190831968713,586.4169054441261,20.755951248624726,0,0.9963526064775341,278.0000005694376,1014.4881877509882,959.5782717906554,2.4793305453668433,8.779349636832315e-29,0.9984157370555339,34,Success,10:04:06,10:08:45,10:04:06,10:08:45,550.4,620.5,124.42285879632,7,QUI-02_10_22_1,10-B1,10B1,FALSE,FALSE,556.9636363636364,FALSE
-9298.809498214303,968.3823725195145,603.7604456824513,22.502529859554503,0,0.9970841325745454,279.999998561879,1228.126246360085,781.8779969409383,5.5829504015795886,1.9714810303654283e-70,0.9981528154253638,11,Success,10:11:13,10:15:53,10:11:13,10:15:53,561.9,641.6,124.42781250003,8,QUI-02_10_22_2,10-B2,10B2,FALSE,FALSE,625.9090909090909,FALSE
-58322.85983764399,5634.2318441169355,887.5784735812133,128.45820853346143,0,0.9996481371031811,281.99999655396226,5975.041297572348,4642.029983586296,1.5016703792779267,2.0485164591962785e-168,0.9999281808759862,27,Success,10:28:12,10:32:54,10:28:12,10:32:54,663.1,1105.1,124.439629629665,9,QUI-02_5_15_1,5-A1,5A1,FALSE,FALSE,659.64,FALSE
-58290.260590743375,5579.907720883806,961.735145631068,126.02319928683934,0,0.9995412596087327,280.9999975579174,5969.345887392609,4163.993210761082,1.7434890251638973,7.29540457052765e-200,0.999929003916151,27,Success,10:34:48,10:39:29,10:34:48,10:39:29,740.2,1176.4,124.444212962961,10,QUI-02_5_15_2,5-A2,5A2,FALSE,TRUE,1117.3899999999999,FALSE
